id,asset_id,asset_type,transaction_type,description,bo,bo_status,owning_access_group,effective_datetime,node_id,badge_no,serial_no,pallet_no,handed_over_asset,fixed_asset_no,scada_id,condition_rating,condifence_rating,maintenance_specification,bom_part_id,attached_to_asset_id,vehicle_identification_num,license_number,purchase_order_num,location_id,metrology_firmware,nic_firmware,configuration,warranty_expiration_date,warranty_detail,vendor_part_no,owning_access_group_nam,specification,hex_code,field_1,field_2,submitted_datetime,registered_datetime
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B18,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001406,MT06770216,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B19,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001407,MT06770217,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B20,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001408,MT06770218,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B21,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001409,MT06770219,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B22,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001410,MT06770220,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B23,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001411,MT06770221,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B24,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001412,MT06770222,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B25,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001413,MT06770223,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B26,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001414,MT06770224,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B27,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001415,MT06770225,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B28,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001416,MT06770226,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B29,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001417,MT06770227,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B30,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001418,MT06770228,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B31,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001419,MT06770229,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B32,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001420,MT06770230,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B33,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001421,MT06770231,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B34,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001422,MT06770232,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B35,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001423,MT06770233,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B36,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001424,MT06770234,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B37,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001425,MT06770235,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B38,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001426,MT06770236,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B39,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001427,MT06770237,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B40,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001428,MT06770238,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B41,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001429,MT06770239,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B42,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001430,MT06770240,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B43,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001431,MT06770241,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B44,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001432,MT06770242,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B45,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001433,MT06770243,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B46,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001434,MT06770244,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B47,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001435,MT06770245,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B48,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001436,MT06770246,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B49,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001437,MT06770247,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B50,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001438,MT06770248,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B51,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001439,MT06770249,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B52,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001440,MT06770250,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B53,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001441,MT06770251,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B54,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001442,MT06770252,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B55,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001443,MT06770253,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B56,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001444,MT06770254,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B57,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001445,MT06770255,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B58,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001446,MT06770256,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B59,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001447,MT06770257,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B60,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001448,MT06770258,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B61,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001449,MT06770259,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B62,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001450,MT06770260,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B63,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001451,MT06770261,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B64,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001452,MT06770262,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B65,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001453,MT06770263,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B66,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001454,MT06770264,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B67,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001455,MT06770265,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B68,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001456,MT06770266,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B69,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001457,MT06770267,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B70,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001458,MT06770268,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B71,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001459,MT06770269,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B72,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001460,MT06770270,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B73,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001461,MT06770271,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B74,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001462,MT06770272,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B75,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001463,MT06770273,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B76,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001464,MT06770274,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
